date,mkt_cap
13/6/6,73214.1263
13/6/7,76116.4649
13/6/10,76795.0573
13/6/11,74878.5005
13/6/12,74213.6679
13/6/13,76029.3534
13/6/14,74699.6835
13/6/17,75245.3048
13/6/18,75263.645
13/6/19,74076.1163
13/6/20,71256.3087
13/6/21,70724.4425
13/6/24,69133.4291
13/6/25,70178.8212
13/6/26,69536.9138
13/6/27,70385.1486
13/6/28,69348.9266
13/7/1,68360.4159
13/7/2,67986.5171
13/7/3,67765.7816
13/7/5,69031.6363
13/7/8,69288.4057
13/7/9,70698.4097
13/7/10,70198.3763
13/7/11,71045.2842
13/7/12,72126.4329
13/7/15,73428.3215
13/7/16,72184.9998
13/7/17,72752.6008
13/7/18,73905.8308
13/7/19,74040.975
13/7/22,74892.3831
13/7/23,74896.8879
13/7/24,74347.3017
13/7/25,74739.2198
13/7/26,74218.8609
13/7/29,73280.2344
13/7/30,72947.8977
13/7/31,73666.4635
13/8/1,75220.3665
13/8/2,75278.7454
13/8/5,75593.1224
13/8/6,74003.2912
13/8/7,73405.9834
13/8/8,73132.0302
13/8/9,72813.1667
13/8/12,72615.5611
13/8/13,73522.7548
13/8/14,73356.582
13/8/15,72193.4037
13/8/16,72152.9844
13/8/19,71241.3041
13/8/20,71658.9704
13/8/21,70558.6666
13/8/22,71591.6049
13/8/23,71250.2861
13/8/26,70913.4584
13/8/27,68816.1446
13/8/28,68699.3777
13/8/29,68995.7861
13/8/30,68322.1307
13/9/3,69503.2731
13/9/4,69943.3992
13/9/5,70136.5092
13/9/6,70356.57
13/9/9,71627.5377
13/9/10,74164.9685
13/9/11,74129.0402
13/9/12,73361.0776
13/9/13,73652.9904
13/9/16,75013.7743
13/9/17,75188.9247
13/9/18,75476.351
13/9/19,75350.602
13/9/20,76235.3361
13/9/23,74214.3699
13/9/24,73190.4137
13/9/25,72894.0053
13/9/26,72885.0232
13/9/27,71789.215
13/9/30,69849.5612
13/10/1,70198.341
13/10/2,70052.6463
13/10/3,69249.1226
13/10/4,69116.6684
13/10/7,68101.2208
13/10/8,67571.422
13/10/9,68185.1056
13/10/10,69761.257
13/10/11,70639.84
13/10/14,70401.435
13/10/15,69593.4874
13/10/16,71633.2128
13/10/17,69898.1261
13/10/18,70061.4763
13/10/21,70538.2952
13/10/22,70308.7158
13/10/23,69642.0567
13/10/24,70622.1845
13/10/25,73464.2776
13/10/28,73174.2095
13/10/29,73473.3423
13/10/30,73446.1484
13/10/31,72906.803
13/11/1,73446.1484
13/11/4,73949.2352
13/11/5,73400.8252
13/11/6,74112.3985
13/11/7,72353.8607
13/11/8,73953.7675
13/11/11,74257.4326
13/11/12,73826.8627
13/11/13,73849.5243
13/11/14,73967.3645
13/11/15,74511.2422
13/11/18,75091.3784
13/11/19,75508.3512
13/11/20,74783.181
13/11/21,75721.3745
13/11/22,76188.1983
13/11/25,76813.6577
13/11/26,76161.0045
13/11/27,76242.5861
13/11/29,76568.9127
13/12/2,76922.4332
13/12/3,76165.5368
13/12/4,76460.1372
13/12/5,75036.9906
13/12/6,75784.8269
13/12/9,75993.3088
13/12/10,76926.9655
13/12/11,75961.5826
13/12/12,76292.4416
13/12/13,76319.6354
13/12/16,77479.9078
13/12/17,77271.4259
13/12/18,79242.978
13/12/19,79211.2518
13/12/20,79388.012
13/12/23,79981.7452
13/12/24,79841.2434
13/12/26,79972.6805
13/12/27,79927.3619
13/12/30,79646.3539
13/12/31,79121.5963
14/1/2,78956.4435
14/1/3,79518.8558
14/1/6,80063.4138
14/1/7,79581.3461
14/1/8,79648.3
14/1/9,79184.0866
14/1/10,79625.982
14/1/13,78505.6209
14/1/14,78826.9994
14/1/15,79786.6712
14/1/16,78188.706
14/1/17,78684.1645
14/1/21,77309.3788
14/1/22,77523.6311
14/1/23,76215.7992
14/1/24,74827.6228
14/1/27,73510.8637
14/1/28,74207.1838
14/1/29,73158.2401
14/1/30,74024.1766
14/1/31,73256.4391
14/2/3,71337.0954
14/2/4,72203.0318
14/2/5,71604.9108
14/2/6,72198.5682
14/2/7,72278.9129
14/2/10,71863.799
14/2/11,73376.956
14/2/12,72979.6965
14/2/13,73229.6575
14/2/14,74124.6229
14/2/18,74545.6827
14/2/19,73916.3568
14/2/20,74477.7698
14/2/21,74477.7698
14/2/24,75401.3847
14/2/25,74015.9624
14/2/26,73708.0907
14/2/27,74876.1919
14/2/28,75360.637
14/3/3,74586.4304
14/3/4,76392.9125
14/3/5,77828.1376
14/3/6,78145.0642
14/3/7,78896.6332
14/3/10,78557.0689
14/3/11,76918.1052
14/3/12,76841.1373
14/3/13,75473.8251
14/3/14,74862.6093
14/3/17,74989.9252
14/3/18,75551.7653
14/3/19,75592.2178
14/3/20,76059.6688
14/3/21,75039.3671
14/3/24,74486.5164
14/3/25,73376.3203
14/3/26,72693.1227
14/3/27,72944.8271
14/3/28,72949.3218
14/3/31,73410.1251
14/4/1,74337.5524
14/4/2,74942.3963
14/4/3,74413.7179
14/4/4,73136.8253
14/4/7,71040.0332
14/4/8,70143.9682
14/4/9,70860.8202
14/4/10,69884.1094
14/4/11,68423.5234
14/4/14,69328.549
14/4/15,69409.1949
14/4/16,70439.6696
14/4/17,70538.2368
14/4/21,70699.5285
14/4/22,71891.295
14/4/23,71886.8146
14/4/24,72066.0276
14/4/25,70761.1935
14/4/28,70000.9937
14/4/29,70761.1935
14/4/30,71467.7322
14/5/1,71713.6793
14/5/2,71047.3864
14/5/5,69916.0301
14/5/6,69106.6409
14/5/7,69544.8737
14/5/8,70385.5654
14/5/9,70296.1301
14/5/12,71346.9946
14/5/13,71673.4334
14/5/14,71302.277
14/5/15,70045.7113
14/5/16,69951.8043
14/5/19,70506.303
14/5/20,69916.0301
14/5/21,71257.5593
14/5/22,71481.1475
14/5/23,71619.7722
14/5/27,72339.7262
14/5/28,72080.3639
14/5/29,71879.1345
14/5/30,71463.2605
14/6/2,71561.6393
14/6/3,72353.1415
14/6/4,72616.9756
14/6/5,72701.9391
14/6/6,74316.2459
14/6/9,74231.2824
14/6/10,74392.2659
14/6/11,73976.3919
14/6/12,74213.3953
14/6/13,74182.093
14/6/16,74164.2059
14/6/17,75224.014
14/6/18,75957.3833
14/6/19,75899.2504
14/6/20,75948.4398
14/6/23,76127.3103
14/6/24,75228.4858
14/6/25,75295.5622
14/6/26,75130.107
14/6/27,74580.08
14/6/30,73796.6349
